url,title,price,rating,reviews,superhost,guest_favorite,city
https://www.airbnb.com/rooms/1711524601006577597?search_mode=regular_search&adults=1&check_in=2026-07-07&check_out=2026-07-12&children=0&infants=0&pets=0&photo_id=2650122582&source_impression_id=p3_1783394890_P3h-cCjo-UZnNLpr&previous_page_section_name=1000&federated_search_id=0036b3e1-6ac7-48fa-b6fd-bb4a98afa934,Hostel The Veteran,,,,True,False,Amsterdam
https://www.airbnb.com/rooms/1051276165819384554?search_mode=regular_search&adults=1&check_in=2026-07-07&check_out=2026-07-12&children=0&infants=0&pets=0&photo_id=2511546574&source_impression_id=p3_1783394890_P3oOKm5PLK8wbbaf&previous_page_section_name=1000&federated_search_id=0036b3e1-6ac7-48fa-b6fd-bb4a98afa934,Hotel Espresso Amsterdam City Centre,39393.0,,,True,False,Amsterdam
https://www.airbnb.com/rooms/1097073695230268036?search_mode=regular_search&adults=1&check_in=2026-07-12&check_out=2026-07-17&children=0&infants=0&pets=0&source_impression_id=p3_1783395981_P3oWqdBEzjjC8e_2&previous_page_section_name=1000&federated_search_id=f92a03cb-c385-423f-8354-cb14b6923a75,New 2BD/2BA Apt • Balcony • Prime & Quiet Location,30373.0,4.96,198198.0,True,False,Athens
https://www.airbnb.com/rooms/1140613235968780974?search_mode=regular_search&adults=1&check_in=2026-07-31&check_out=2026-08-05&children=0&infants=0&pets=0&source_impression_id=p3_1783395981_P37Va8JhdQAj0O2S&previous_page_section_name=1000&federated_search_id=f92a03cb-c385-423f-8354-cb14b6923a75,Aphrodite Suite Romantic Jacuzzi Fireplace Retreat,41595.0,4.99,196196.0,True,False,Athens
https://www.airbnb.com/rooms/1553107325705123023?search_mode=regular_search&adults=1&check_in=2026-07-08&check_out=2026-07-13&children=0&infants=0&pets=0&source_impression_id=p3_1783395981_P3-MyF2KlKbzMnoy&previous_page_section_name=1000&federated_search_id=f92a03cb-c385-423f-8354-cb14b6923a75,Acropolis View PrivateTerrace|Aētheryn Loft-Athens,,4.88,5858.0,True,True,Athens
https://www.airbnb.com/rooms/1454867114857900852?search_mode=regular_search&adults=1&check_in=2026-07-20&check_out=2026-07-25&children=0&infants=0&pets=0&source_impression_id=p3_1783395981_P3WWuMjcKMA7hJqx&previous_page_section_name=1000&federated_search_id=f92a03cb-c385-423f-8354-cb14b6923a75,Acroview Lofts 02,61977.0,,,True,False,Athens
https://www.airbnb.com/rooms/628473879447208738?search_mode=regular_search&adults=1&check_in=2026-07-13&check_out=2026-07-18&children=0&infants=0&pets=0&source_impression_id=p3_1783395981_P3lQ7fe_YYCi6nFq&previous_page_section_name=1000&federated_search_id=f92a03cb-c385-423f-8354-cb14b6923a75,"Guest House Studio - Private Bathroom, kitchen etc",,4.97,123123.0,True,False,Athens
https://www.airbnb.com/rooms/1016589578971991975?search_mode=regular_search&adults=1&check_in=2026-08-14&check_out=2026-08-19&children=0&infants=0&pets=0&source_impression_id=p3_1783395981_P3Zl3iPNFIIdE01b&previous_page_section_name=1000&federated_search_id=f92a03cb-c385-423f-8354-cb14b6923a75,Luxury Apartment in heart of Athens-Blue Graphite,64000.0,5.0,118118.0,True,False,Athens
https://www.airbnb.com/rooms/45429735?search_mode=regular_search&adults=1&check_in=2026-07-15&check_out=2026-07-20&children=0&infants=0&pets=0&source_impression_id=p3_1783395981_P30D2kpKiCHW0vkV&previous_page_section_name=1000&federated_search_id=f92a03cb-c385-423f-8354-cb14b6923a75,The One Acropolis | King Suite with balcony,144377.0,4.95,3838.0,True,True,Athens
https://www.airbnb.com/rooms/1703386447868254699?search_mode=regular_search&adults=1&check_in=2026-07-27&check_out=2026-08-01&children=0&infants=0&pets=0&source_impression_id=p3_1783395981_P3CLc42QSpAVZBzq&previous_page_section_name=1000&federated_search_id=f92a03cb-c385-423f-8354-cb14b6923a75,*Spotless Sanctuary* - *Fully Renovated June ‘26*,23197.0,5.0,66.0,True,True,Athens
